#RdAddress   ,MepcWr      ,WrOperation ,ExcWrEna    ,ExcData     ,ExcAddress  ,CycleMepc   ,WrAddress   ,GprData     ,ImmData     ,Rst         ,Clk         ,MepcRd      ,Mtvec       ,Mnev        ,Mie         ,Mps         ,CsrData     ,
00000000000000000000000000000000,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000000000000000,00000000000000000000000000000000,00000,1,0,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie OK   ,Mps OK   ,CsrData OK   ,
00000000000000000000000000000000,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000001100000001,00000000000000101000010100110000,10111,0,0,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie OK   ,Mps OK   ,CsrData OK   ,
00000000000000000000001100000001,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000001100000100,00000000000001001110100101000111,10111,0,0,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000101000010100110000,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie OK   ,Mps OK   ,CsrData ERROR,
00000000000000000000001100000100,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000001100000101,00000000000110010010110011001001,10111,0,0,00000000000000000000000000000000,00000000000000000000000000001000,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000001001110100101000111,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000001100000101,00000000000000000000000000000000,000,00,00000000000000000000000000010111,00000000000000000000001100000101,00,00000000000000000000001101000010,00000000000000000011110100100011,10111,0,0,00000000000000000000000000000000,00000000000110010010110011001001,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000110010010110011001001,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000001101000010,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000001101000011,00000000000000010000101000111100,10111,0,0,00000000000000000000000000000000,00000000000000000000000000010111,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000000000011110100100011,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000001101000011,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000111100010010,00000000000000000000011110110000,10111,0,0,00000000000000000000000000000000,00000000000000000000000000010111,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000000010000101000111100,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000111100010010,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000111100010011,00000000000010011111000110101001,10111,0,0,00000000000000000000000000000000,00000000000000000000000000010111,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000000000000011110110000,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000111100010011,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000000111100010100,00000000000000000000000101011111,10111,0,0,00000000000000000000000000000000,00000000000000000000000000010111,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000010011111000110101001,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
00000000000000000000111100010100,00000000000000000000000000000000,000,00,00000000000000000000000000000000,00000000000000000000000000000000,00,00000000000000000001000000000000,00000000101100100100111011110000,10111,0,0,00000000000000000000000000000000,00000000000000000000000000010111,00000000000000000000000000000000,00000000000001001110100101000111,00000000000000000000000000000000,00000000000000000000000101011111,MepcRd OK   ,Mtvec ERROR,Mnev OK   ,Mie ERROR,Mps OK   ,CsrData ERROR,
