#InImmData      ,InRdAddress    ,InRs1Address   ,InRs2Address   ,InPcNext       ,InPc           ,InAluOperation ,InAluSource    ,InCsrOperation ,InMdrOperation ,InWbDataSrc    ,InGprWrEna     ,PipelineMode   ,Rst            ,Clk            ,OutAluResult   ,OutMemData     ,OutImmData     ,OutRdAddress   ,OutCsrData     ,OutNegative    ,OutPcNext      ,OutWbDataSrc   ,OutGprWrEna    ,
00000000000000000000000000000000,00000,00000,00000,00000000000000000000000000000000,00000000000000000000000000000000,00000,00,000,0000,000,0,0000,1,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000000000000,00000,00110000000000000000000000000011,1,00000000000000000000000000000000,000,0,OutAluResult ERROR,OutMemData ERROR,OutImmData OK   ,OutRdAddress OK   ,OutCsrData ERROR,OutNegative ERROR,OutPcNext OK   ,OutWbDataSrc OK   ,OutGprWrEna OK   ,
00000000000000000000000100000001,01010,00101,10000,00000000000000000000000100000001,00000000000000000000000100000001,00111,01,001,1100,010,1,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000000000000,00000,00110000000000000000000000000011,1,00000000000000000000000000000000,000,0,OutAluResult ERROR,OutMemData ERROR,OutImmData OK   ,OutRdAddress OK   ,OutCsrData ERROR,OutNegative ERROR,OutPcNext OK   ,OutWbDataSrc OK   ,OutGprWrEna OK   ,
00000000000000000000001000000010,01011,01001,01101,00000000000000000000001000000010,00000000000000000000001000000010,01111,10,010,1010,101,0,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000000000000,00000,00110000000000000000000000000011,1,00000000000000000000000000000000,000,0,OutAluResult ERROR,OutMemData ERROR,OutImmData OK   ,OutRdAddress OK   ,OutCsrData ERROR,OutNegative ERROR,OutPcNext OK   ,OutWbDataSrc OK   ,OutGprWrEna OK   ,
00000000000000000000001100000011,01100,00110,00011,00000000000000000000001100000011,00000000000000000000001100000011,11110,11,011,0001,010,1,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000000000000,00000,00110000000000000000000000000011,1,00000000000000000000000000000000,000,0,OutAluResult ERROR,OutMemData ERROR,OutImmData OK   ,OutRdAddress OK   ,OutCsrData ERROR,OutNegative ERROR,OutPcNext OK   ,OutWbDataSrc OK   ,OutGprWrEna OK   ,
00000000000000000000010000000100,01101,01010,01010,00000000000000000000010000000100,00000000000000000000010000000100,11001,00,100,0110,011,1,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000000000000,00000,00110000000000000000000000000011,1,00000000000000000000000000000000,000,0,OutAluResult ERROR,OutMemData ERROR,OutImmData OK   ,OutRdAddress OK   ,OutCsrData ERROR,OutNegative ERROR,OutPcNext OK   ,OutWbDataSrc OK   ,OutGprWrEna OK   ,
00000000000000000000010100000101,01110,01110,01110,00000000000000000000010100000101,00000000000000000000010100000101,00100,01,101,0100,010,0,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000000100000001,01010,00110000000000000000000000000011,1,00000000000000000000000100000001,010,1,OutAluResult ERROR,OutMemData ERROR,OutImmData ERROR,OutRdAddress ERROR,OutCsrData ERROR,OutNegative ERROR,OutPcNext ERROR,OutWbDataSrc ERROR,OutGprWrEna ERROR,
00000000000000000000011000000110,01111,00111,00000,00000000000000000000011000000110,00000000000000000000011000000110,10101,10,110,1010,000,1,0011,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000001000000010,01011,00110000000000000000000000000011,1,00000000000000000000001000000010,101,0,OutAluResult ERROR,OutMemData ERROR,OutImmData ERROR,OutRdAddress ERROR,OutCsrData ERROR,OutNegative ERROR,OutPcNext ERROR,OutWbDataSrc ERROR,OutGprWrEna OK   ,
00000000000000000000011000000110,01111,00111,00000,00000000000000000000011000000110,00000000000000000000011000000110,10101,10,110,1010,000,1,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000001000000010,01011,00110000000000000000000000000011,1,00000000000000000000001000000010,101,0,OutAluResult ERROR,OutMemData ERROR,OutImmData ERROR,OutRdAddress ERROR,OutCsrData ERROR,OutNegative ERROR,OutPcNext ERROR,OutWbDataSrc ERROR,OutGprWrEna OK   ,
00000000000000000000011100000111,10000,00001,00101,00000000000000000000011100000111,00000000000000000000011100000111,11000,11,111,1111,101,1,0101,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000001100000011,01100,00110000000000000000000000000011,1,00000000000000000000001100000011,010,1,OutAluResult ERROR,OutMemData ERROR,OutImmData ERROR,OutRdAddress ERROR,OutCsrData ERROR,OutNegative ERROR,OutPcNext ERROR,OutWbDataSrc ERROR,OutGprWrEna ERROR,
00000000000000000000011100000111,10000,00001,00101,00000000000000000000011100000111,00000000000000000000011100000111,11000,11,111,1111,101,1,0001,0,0,00010010000100100001001000010010,00100011001000110010001100100011,00000000000000000000010000000100,01101,00110000000000000000000000000011,1,00000000000000000000010000000100,011,1,OutAluResult ERROR,OutMemData ERROR,OutImmData ERROR,OutRdAddress ERROR,OutCsrData ERROR,OutNegative ERROR,OutPcNext ERROR,OutWbDataSrc ERROR,OutGprWrEna ERROR,
