#AluResult ,MemData   ,ImmData   ,CsrData   ,Negative  ,PcNext    ,WbDataSrc ,WbData    ,
00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,00000000000000000000000000000000,0,00000000000000000000000000000000,000,00000000000000000000000000000000,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,000,00000000000000000000000001001110,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,001,00000000000000000000000000001100,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,010,00000000000000000000000000010111,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,011,00000000000000000000000000111000,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,100,00000000000000000000000001011001,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,1,00000000000000000000000001011001,101,00000000000000000000000000000001,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001110,0,00000000000000000000000001011001,101,00000000000000000000000000000000,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001111,0,00000000000000000000000001011001,110,00000000000000000000000000000000,WbData OK   ,
00000000000000000000000000111000,00000000000000000000000000001100,00000000000000000000000000010111,00000000000000000000000001001111,0,00000000000000000000000001011001,111,00000000000000000000000000000000,WbData OK   ,
