0d0000000000	00001011000000000000010101101111
0d0000000016	10000000000000000000111000110111
0d0000000017	00000000000000000000000000110011
0d0000000018	00000000000000000000000000110011
0d0000000019	00000000000000000000000000110011
0d0000000020	11111111101011100001111011110011
0d0000000021	00000000001000000000010101101111
0d0000000022	00000000000000000000000000110011
0d0000000023	00000000000000000000000000110011
0d0000000024	00000000000000000000000000110011
0d0000000025	00000000000000000000000000110011
0d0000000026	00011101000000000000000001100111
0d0000000032	00000000000000000000000010110111
0d0000000033	00000000000000000000111110110111
0d0000000034	01111000011110000000011110110111
0d0000000035	00011100000000000000000001100111
0d0000000036	00110000001000000000000001110011
0d0000000048	11111111101100001001010111110011
0d0000000049	00010000000000000001101010110111
0d0000000050	00010000000000000001101100110111
0d0000000051	00010000000000000001101110110111
0d0000000052	00010000000000000001110000110111
0d0000000053	00110000001000000000000001110011
0d0000000064	00100000000000000010101010110111
0d0000000065	00100000000000000010101100110111
0d0000000066	00100000000000000010101110110111
0d0000000067	00100000000000000010110000110111
0d0000000068	00110000001000000000000001110011
0d0000000080	00110000000000000011101010110111
0d0000000081	00110000000000000011101100110111
0d0000000082	00110000000000000011101110110111
0d0000000083	00110000000000000011110000110111
0d0000000084	00110000001000000000000001110011
0d0000000096	01000000000000000100101010110111
0d0000000097	01000000000000000100101100110111
0d0000000098	01000000000000000100101110110111
0d0000000099	01000000000000000100110000110111
0d0000000100	00110000001000000000000001110011
0d0000000112	00010000000100000001101010110111
0d0000000113	00010000000100000001101100110111
0d0000000114	00010000000100000001101110110111
0d0000000115	00010000000100000001110000110111
0d0000000116	00110000001000000000000001110011
0d0000000128	00100000000100000010101010110111
0d0000000129	00100000000100000010101100110111
0d0000000130	00100000000100000010101110110111
0d0000000131	00100000000100000010110000110111
0d0000000132	00110000001000000000000001110011
0d0000000144	00110000000100000011101010110111
0d0000000145	00110000000100000011101100110111
0d0000000146	00110000000100000011101110110111
0d0000000147	00110000000100000011110000110111
0d0000000148	00110000001000000000000001110011
0d0000000160	01000000000100000100101010110111
0d0000000161	01000000000100000100101100110111
0d0000000162	01000000000100000100101110110111
0d0000000163	01000000000100000100110000110111
0d0000000164	00110000001000000000000001110011
0d0000000176	00000000000000000001010110110111
0d0000000177	11111111111111111111011000110111
0d0000000178	00000000000000011111011010110111
0d0000000179	10101010101010101010011100110111
0d0000000180	01010101010101010101011110110111
0d0000000181	00000000000000010001100000110111
0d0000000182	10000000000000000000100010110111
0d0000000183	00000000110001011101000010010011
0d0000000184	00000000110001100101000100010011
0d0000000185	00000000000001100101111110010011
0d0000000186	10101010101000000000100100110111
0d0000000187	00000000110001101101000110010011
0d0000000188	00000000110001110101001000010011
0d0000000189	00000000110001111101001010010011
0d0000000190	00000000110010000101001100010011
0d0000000191	11111111111100000000111110010011
0d0000000192	00000000000000000000000000110011
0d0000000193	00000000000000000000000000110011
0d0000000194	00000000000000000000000000110011
0d0000000195	00000000010010010000001110110011
0d0000000196	01000001000111111000111100110011
0d0000000197	00000000000000000000000000110011
0d0000000198	00000000000000000000000000110011
0d0000000199	00000000000000000000000000110011
0d0000000200	00000000000000000001010100010111
0d0000000201	00001110000100000000010100010011
0d0000000202	00000000000000001000010100010011
0d0000000203	11111111111100001000010100010011
0d0000000204	00000000000100000010010100010011
0d0000000205	11111111111100000010010100010011
0d0000000206	01111111111100000010010100010011
0d0000000207	00000000000000000010010100010011
0d0000000208	00000010000000011010010100010011
0d0000000209	00000000000000001010010100010011
0d0000000210	00000000000100000011010100010011
0d0000000211	11111111111100000011010100010011
0d0000000212	01111111111100000011010100010011
0d0000000213	00000000000000000011010100010011
0d0000000214	00000010000000011011010100010011
0d0000000215	00000000000000001011010100010011
0d0000000216	00000000001100001100010100010011
0d0000000217	00000000001100001110010100010011
0d0000000218	00000000001100001111010100010011
0d0000000219	00000000001100001001010100010011
0d0000000220	00000000000011111101010100010011
0d0000000221	00000000000111111101010100010011
0d0000000222	00000000100011111101010100010011
0d0000000223	00000001111111111101010100010011
0d0000000224	01000000000000111101010100010011
0d0000000225	01000000000100111101010100010011
0d0000000226	01000000100000111101010100010011
0d0000000227	01000001111100111101010100010011
0d0000000228	00000000010100100000010100110011
0d0000000229	01000000000100000000010110110011
0d0000000230	01000000101100000000010110110011
0d0000000231	01000000000000000000010110110011
0d0000000232	01000000011000011000010110110011
0d0000000233	00000000000100001001010100110011
0d0000000234	00000000011000001001010100110011
0d0000000235	00000000001100001001010100110011
0d0000000236	00000001111100001001010100110011
0d0000000237	00000001111100000010010100110011
0d0000000238	00000000000100000010010100110011
0d0000000239	00000000001100110010010100110011
0d0000000240	00000001111000110010010100110011
0d0000000241	00000000000000001010010100110011
0d0000000242	00000001111100000011010100110011
0d0000000243	00000000000100000011010100110011
0d0000000244	00000000001100110011010100110011
0d0000000245	00000001111000110011010100110011
0d0000000246	00000000000000001011010100110011
0d0000000247	00000000001000100100010110110011
